path,sample_count,mean_ms,p50_ms,p95_ms,min_ms,max_ms,success_rate,external_api_ms,total_time_ms,source
本地检索+模型（联网允许但实际未触发）,80,24271.59,22918.58,37063.3,9625.14,54340.28,1.0,未分阶段记录,1941727.04,evaluation/output/per_case_results.csv
历史记录分页（MySQL只读）,20,28.2,19.75,46.54,17.43,129.26,1.0,不适用/未分阶段,563.94,"当前MySQL；page=1,page_size=20"
管理员统计概览（MySQL只读）,20,42.71,42.9,55.71,21.94,64.24,1.0,不适用/未分阶段,854.13,当前MySQL；get_statistics_overview
PDF生成（既有检测记录内容）,5,1263.63,313.78,4109.4,307.03,5054.39,1.0,不适用/未分阶段,6318.16,detection_id=1; 临时文件已清理
URL提取（既有评测样本URL）,3,7070.6,6411.35,8439.41,6135.68,8664.75,1.0,包含网页网络耗时,21211.79,sample_id=NEWS-EVAL-001
