dataset,role,group,count,sha256
news_eval.csv,既有正式评测输入,all,80,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30
knowledge_base_eval.csv,评测专用知识库,all,20,bf9a30c1a69b813897dec0824b57807a4469cef7071e260e57d5a45657faf9ca
news_eval.csv,标签分布,可信,20,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30
news_eval.csv,标签分布,存疑,20,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30
news_eval.csv,标签分布,疑似谣言,20,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30
news_eval.csv,标签分布,高风险,20,1023663fdf1070283547799fbccd54aa215281b17407baa4c886803275732b30
