variant,sample_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,high_risk_recall,mean_final_score,contract_pass_rate,note,trusted_precision,trusted_recall,trusted_f1,suspicious_precision,suspicious_recall,suspicious_f1,rumor_precision,rumor_recall,rumor_f1,high_risk_precision,high_risk_f1
Full,68,0.4706,0.4169,0.4344,0.4444,0.2667,68.6309,0.9853,共同可评估子集；排除仅剩规则分的LLM降级样本，离线重算未重复调用模型,0.6667,1.0,0.8,0.4,0.1111,0.1739,0.2069,0.4,0.2727,1.0,0.4211
No-Evidence-Quality,68,0.6176,0.5898,0.5951,0.6028,0.8,67.0779,0.9853,共同可评估子集；排除仅剩规则分的LLM降级样本，离线重算未重复调用模型,0.6061,1.0,0.7547,1.0,0.2778,0.4348,0.2941,0.3333,0.3125,0.9231,0.8571
No-Rule,68,0.5441,0.4691,0.4767,0.5306,0.8,64.3553,0.9853,共同可评估子集；排除仅剩规则分的LLM降级样本，离线重算未重复调用模型,0.6667,1.0,0.8,0.25,0.0556,0.0909,0.25,0.2667,0.2581,0.6667,0.7273
Use-All-Candidates,68,0.4706,0.4132,0.4311,0.4444,0.2667,68.3515,N/A,共同可评估子集；跳过契约校验并使用全部候选；离线重算未重复调用模型,0.6667,1.0,0.8,0.4,0.1111,0.1739,0.2143,0.4,0.2791,0.8,0.4
Full-All,80,0.4,0.3458,0.3458,0.4,0.2,71.8362,0.8375,完整80条原始运行；包含规则降级样本；用于总体结果，不与No-Rule作净效应比较,0.4762,1.0,0.6452,0.4,0.1,0.16,0.2069,0.3,0.2449,1.0,0.3333
No-Web,80,0.4,0.3458,0.3458,0.4,0.2,71.8362,0.8375,原运行80条联网触发为0，实际执行路径与Full-All完全相同,0.4762,1.0,0.6452,0.4,0.1,0.16,0.2069,0.3,0.2449,1.0,0.3333
