variant,sample_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,high_risk_recall,mean_final_score,contract_pass_rate,note,trusted_precision,trusted_recall,trusted_f1,suspicious_precision,suspicious_recall,suspicious_f1,rumor_precision,rumor_recall,rumor_f1,high_risk_precision,high_risk_f1,evidence_quality_weight
EQ-Weight-0.00,68,0.6176,0.5898,0.5951,0.6028,0.8,67.0779,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.6061,1.0,0.7547,1.0,0.2778,0.4348,0.2941,0.3333,0.3125,0.9231,0.8571,0.0
EQ-Weight-0.10,68,0.5735,0.543,0.551,0.5556,0.6667,67.5957,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.625,1.0,0.7692,0.8,0.2222,0.3478,0.25,0.3333,0.2857,0.9091,0.7692,0.1
EQ-Weight-0.20,68,0.5,0.456,0.4742,0.4722,0.2667,68.1131,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.625,1.0,0.7692,0.8,0.2222,0.3478,0.2222,0.4,0.2857,1.0,0.4211,0.2
EQ-Weight-0.30,68,0.4706,0.4169,0.4344,0.4444,0.2667,68.6309,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.6667,1.0,0.8,0.4,0.1111,0.1739,0.2069,0.4,0.2727,1.0,0.4211,0.3
EQ-Weight-0.40,68,0.4412,0.381,0.403,0.4111,0.2,69.1487,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.6897,1.0,0.8163,0.25,0.1111,0.1538,0.1852,0.3333,0.2381,0.75,0.3158,0.4
EQ-Weight-0.50,68,0.4412,0.3812,0.4027,0.4111,0.2,69.666,0.9853,有效证据分支保持LLM:规则=5:2；无证据分支不变；离线重算,0.6897,1.0,0.8163,0.2,0.1111,0.1429,0.2,0.3333,0.25,0.75,0.3158,0.5
