sample_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,high_risk_recall,mean_final_score,contract_pass_rate,note,trusted_precision,trusted_recall,trusted_f1,suspicious_precision,suspicious_recall,suspicious_f1,rumor_precision,rumor_recall,rumor_f1,high_risk_precision,high_risk_f1,policy,triggered_count,web_candidate_count,web_effective_count,provider_error_count,mean_ms,p50_ms,p95_ms
12,0.4167,0.3542,0.3542,0.4167,0.0,67.5,1.0,隔离低覆盖配对样本；本地知识固定为空；数据库保存为内存模拟,0.5,1.0,0.6667,1.0,0.3333,0.5,0.2,0.3333,0.25,0.0,0.0,Local-only,0,0,0,0,20437.49,19988.0,28862.69
12,0.25,0.25,0.25,0.25,0.0,61.9917,0.6667,隔离低覆盖配对样本；本地知识固定为空；数据库保存为内存模拟,0.4,0.6667,0.5,1.0,0.3333,0.5,0.0,0.0,0.0,0.0,0.0,Local+Web,12,60,10,4,26880.93,26828.81,30918.89
